t,event_type,source,leader_flash_time,follower_flash_time,timing_error_s
10.58,follower_flash,follower_oscillator,10.5,10.58,-0.08
11.0,leader_flash,synthetic,11.0,,
11.08,follower_flash,follower_oscillator,11.0,11.08,-0.08
11.5,leader_flash,synthetic,11.5,,
11.58,follower_flash,follower_oscillator,11.5,11.58,-0.08
12.0,leader_flash,synthetic,12.0,,
12.08,follower_flash,follower_oscillator,12.0,12.08,-0.08
12.5,leader_flash,synthetic,12.5,,
12.58,follower_flash,follower_oscillator,12.5,12.58,-0.08
13.0,leader_flash,synthetic,13.0,,
13.08,follower_flash,follower_oscillator,13.0,13.08,-0.08
13.5,leader_flash,synthetic,13.5,,
13.58,follower_flash,follower_oscillator,13.5,13.58,-0.08
14.0,leader_flash,synthetic,14.0,,
14.08,follower_flash,follower_oscillator,14.0,14.08,-0.08
14.5,leader_flash,synthetic,14.5,,
14.58,follower_flash,follower_oscillator,14.5,14.58,-0.08
15.0,leader_flash,synthetic,15.0,,
15.08,follower_flash,follower_oscillator,15.0,15.08,-0.08
15.5,leader_flash,synthetic,15.5,,
15.58,follower_flash,follower_oscillator,15.5,15.58,-0.08
16.0,leader_flash,synthetic,16.0,,
16.08,follower_flash,follower_oscillator,16.0,16.08,-0.08
16.5,leader_flash,synthetic,16.5,,
16.58,follower_flash,follower_oscillator,16.5,16.58,-0.08
17.0,leader_flash,synthetic,17.0,,
17.08,follower_flash,follower_oscillator,17.0,17.08,-0.08
17.5,leader_flash,synthetic,17.5,,
17.58,follower_flash,follower_oscillator,17.5,17.58,-0.08
18.0,leader_flash,synthetic,18.0,,
18.08,follower_flash,follower_oscillator,18.0,18.08,-0.08
18.5,leader_flash,synthetic,18.5,,
18.58,follower_flash,follower_oscillator,18.5,18.58,-0.08
19.0,leader_flash,synthetic,19.0,,
19.08,follower_flash,follower_oscillator,19.0,19.08,-0.08
19.5,leader_flash,synthetic,19.5,,
19.58,follower_flash,follower_oscillator,19.5,19.58,-0.08
20.0,leader_flash,synthetic,20.0,,
20.08,follower_flash,follower_oscillator,20.0,20.08,-0.08
20.5,leader_flash,synthetic,20.5,,
20.58,follower_flash,follower_oscillator,20.5,20.58,-0.08
21.0,leader_flash,synthetic,21.0,,
21.08,follower_flash,follower_oscillator,21.0,21.08,-0.08
21.5,leader_flash,synthetic,21.5,,
21.58,follower_flash,follower_oscillator,21.5,21.58,-0.08
22.0,leader_flash,synthetic,22.0,,
22.08,follower_flash,follower_oscillator,22.0,22.08,-0.08
22.5,leader_flash,synthetic,22.5,,
22.58,follower_flash,follower_oscillator,22.5,22.58,-0.08
23.0,leader_flash,synthetic,23.0,,
23.08,follower_flash,follower_oscillator,23.0,23.08,-0.08
23.5,leader_flash,synthetic,23.5,,
23.58,follower_flash,follower_oscillator,23.5,23.58,-0.08
24.0,leader_flash,synthetic,24.0,,
24.08,follower_flash,follower_oscillator,24.0,24.08,-0.08
24.5,leader_flash,synthetic,24.5,,
24.58,follower_flash,follower_oscillator,24.5,24.58,-0.08
25.0,leader_flash,synthetic,25.0,,
25.08,follower_flash,follower_oscillator,25.0,25.08,-0.08
25.5,leader_flash,synthetic,25.5,,
25.58,follower_flash,follower_oscillator,25.5,25.58,-0.08
26.0,leader_flash,synthetic,26.0,,
26.08,follower_flash,follower_oscillator,26.0,26.08,-0.08
26.5,leader_flash,synthetic,26.5,,
26.58,follower_flash,follower_oscillator,26.5,26.58,-0.08
27.0,leader_flash,synthetic,27.0,,
27.08,follower_flash,follower_oscillator,27.0,27.08,-0.08
27.5,leader_flash,synthetic,27.5,,
27.58,follower_flash,follower_oscillator,27.5,27.58,-0.08
28.0,leader_flash,synthetic,28.0,,
28.08,follower_flash,follower_oscillator,28.0,28.08,-0.08
28.5,leader_flash,synthetic,28.5,,
28.58,follower_flash,follower_oscillator,28.5,28.58,-0.08
29.0,leader_flash,synthetic,29.0,,
29.08,follower_flash,follower_oscillator,29.0,29.08,-0.08
29.5,leader_flash,synthetic,29.5,,
29.58,follower_flash,follower_oscillator,29.5,29.58,-0.08
